,d,F,T_i,A,p_e,a_opt,rev
0,1,5,1,5,0.01,1,0.8231583333333334
1,1,5,1,6,0.01,1,0.7054214285714286
2,1,5,1,7,0.01,1,0.61711875
3,1,5,1,8,0.01,1,0.5484388888888889
4,1,5,1,9,0.01,1,0.493495
5,1,5,1,10,0.01,1,0.4485409090909091
6,1,6,1,5,0.01,1,0.98799
7,1,6,1,6,0.01,1,0.8467057142857143
8,1,6,1,7,0.01,1,0.7407425
9,1,6,1,8,0.01,1,0.6583266666666666
10,1,6,1,9,0.01,1,0.592394
11,1,6,1,10,0.01,1,0.5384490909090909
12,1,7,1,6,0.01,1,0.98799
13,1,7,1,7,0.01,1,0.86436625
14,1,7,1,8,0.01,1,0.7682144444444445
15,1,7,1,9,0.01,1,0.6912929999999999
16,1,7,1,10,0.01,1,0.6283572727272727
17,1,8,1,7,0.01,1,0.98799
18,1,8,1,8,0.01,1,0.8781022222222222
19,1,8,1,9,0.01,1,0.7901920000000001
20,1,8,1,10,0.01,1,0.7182654545454545
21,1,9,1,8,0.01,1,0.98799
22,1,9,1,9,0.01,1,0.8890910000000001
23,1,9,1,10,0.01,1,0.8081736363636365
24,1,10,1,9,0.01,1,0.98799
25,1,10,1,10,0.01,1,0.8980818181818182
26,1,5,2,5,0.01,2,1.4113190476190476
27,1,5,2,6,0.01,2,1.234594642857143
28,1,5,2,7,0.01,2,1.0971555555555557
29,1,5,2,8,0.01,2,0.9872122222222223
30,1,5,2,9,0.01,2,0.8972636363636364
31,1,5,2,10,0.01,2,0.8223098484848486
32,1,6,2,5,0.01,2,1.6941257142857145
33,1,6,2,6,0.01,2,1.4820207142857145
34,1,6,2,7,0.01,2,1.3170700000000002
35,1,6,2,8,0.01,2,1.1851213333333335
36,1,6,2,9,0.01,2,1.077170909090909
37,1,6,2,10,0.01,2,0.9872172727272728
38,1,7,2,5,0.01,2,1.9769800000000002
39,1,7,2,6,0.01,2,1.7294825000000003
40,1,7,2,7,0.01,2,1.5370122222222224
41,1,7,2,8,0.01,2,1.383052666666667
42,1,7,2,9,0.01,2,1.2570963636363637
43,1,7,2,10,0.01,2,1.1521398484848486
44,1,8,2,6,0.01,2,1.9769800000000002
45,1,8,2,7,0.01,2,1.7569822222222224
46,1,8,2,8,0.01,2,1.5810062222222223
47,1,8,2,9,0.01,2,1.43704
48,1,8,2,10,0.01,2,1.317077575757576
49,1,9,2,7,0.01,2,1.9769800000000002
50,1,9,2,8,0.01,2,1.778982
51,1,9,2,9,0.01,2,1.6170018181818184
52,1,9,2,10,0.01,2,1.4820304545454546
53,1,10,2,8,0.01,2,1.9769800000000002
54,1,10,2,9,0.01,2,1.7969818181818185
55,1,10,2,10,0.01,2,1.6469984848484849
56,1,5,3,5,0.01,3,1.857379410714286
57,1,5,3,6,0.01,3,1.6494511547619048
58,1,5,3,7,0.01,3,1.483462475
59,1,5,3,8,0.01,3,1.3478487696969699
60,1,5,3,9,0.01,3,1.2349524863636363
61,1,5,3,10,0.01,3,1.139496493006993
62,1,6,3,5,0.01,3,2.233738107142857
63,1,6,3,6,0.01,3,1.9828323095238094
64,1,6,3,7,0.01,3,1.7828036166666668
65,1,6,3,8,0.01,3,1.6195266303030305
66,1,6,3,9,0.01,3,1.4836877000000004
67,1,6,3,10,0.01,3,1.3688868321678322
68,1,7,3,5,0.01,3,2.6126798125
69,1,7,3,6,0.01,3,2.317947375
70,1,7,3,7,0.01,3,2.0833668291666667
71,1,7,3,8,0.01,3,1.8920993303030302
72,1,7,3,9,0.01,3,1.7330985886363637
73,1,7,3,10,0.01,3,1.598800417832168
74,1,8,3,5,0.01,3,2.9946997
75,1,8,3,6,0.01,3,2.6551264666666667
76,1,8,3,7,0.01,3,2.3853831933333334
77,1,8,3,8,0.01,3,2.1657349284848486
78,1,8,3,9,0.01,3,1.9833111963636363
79,1,8,3,10,0.01,3,1.829334206993007
80,1,9,3,6,0.01,3,2.9946997
81,1,9,3,7,0.01,3,2.68908379
82,1,9,3,8,0.01,3,2.440601483636364
83,1,9,3,9,0.01,3,2.2344515672727274
84,1,9,3,10,0.01,3,2.0605851566433566
85,1,10,3,7,0.01,3,2.9946997
86,1,10,3,8,0.01,3,2.716867054545455
87,1,10,3,9,0.01,3,2.4866457454545454
88,1,10,3,10,0.01,3,2.292650223776224
89,1,5,4,5,0.01,4,2.2056395714285713
90,1,5,4,6,0.01,4,1.982764204761905
91,1,5,4,7,0.01,4,1.8008363030303032
92,1,5,4,8,0.01,4,1.6495071252525253
93,1,5,4,9,0.01,4,1.5216441594405596
94,1,5,4,10,0.01,4,1.4121733976023976
95,1,6,4,5,0.01,4,2.653254095238095
96,1,6,4,6,0.01,4,2.384685380952381
97,1,6,4,7,0.01,4,2.1654556484848486
98,1,6,4,8,0.01,4,1.983145975757576
99,1,6,4,9,0.01,4,1.8291588139860142
100,1,6,4,10,0.01,4,1.6973668191808193
101,1,7,4,5,0.01,4,3.101663055555556
102,1,7,4,6,0.01,4,2.7877767833333333
103,1,7,4,7,0.01,4,2.5312640727272733
104,1,7,4,8,0.01,4,2.3178758252525253
105,1,7,4,9,0.01,4,2.1376366755244756
106,1,7,4,10,0.01,4,1.9833977447552449
107,1,8,4,5,0.01,4,3.5491996444444442
108,1,8,4,6,0.01,4,3.1911703733333336
109,1,8,4,7,0.01,4,2.8977932169696974
110,1,8,4,8,0.01,4,2.6534404541414145
111,1,8,4,9,0.01,4,2.446939144055944
112,1,8,4,10,0.01,4,2.2701948763236763
113,1,9,4,5,0.01,4,3.9935996
114,1,9,4,6,0.01,4,3.59363964
115,1,9,4,7,0.01,4,3.2643466036363638
116,1,9,4,8,0.01,4,2.9894315636363635
117,1,9,4,9,0.01,4,2.756822333986014
118,1,9,4,10,0.01,4,2.5576117118881116
119,1,10,4,6,0.01,4,3.9935996
120,1,10,4,7,0.01,4,3.6299996363636367
121,1,10,4,8,0.01,4,3.325288775757576
122,1,10,4,9,0.01,4,3.066937074125874
123,1,10,4,10,0.01,4,2.8454265454545458
124,1,5,5,5,0.01,5,2.484405593253968
125,1,5,5,6,0.01,5,2.255932234848485
126,1,5,5,7,0.01,5,2.0658922632575756
127,1,5,5,8,0.01,5,1.9053595178710179
128,1,5,5,9,0.01,5,1.7679611755744256
129,1,5,5,10,0.01,5,1.6490319162504166
130,1,6,5,5,0.01,5,2.9880066547619046
