,A,F,pe,ds,ec,beta,dl,du
0,6,2,0.01,0.001,0.001,0.49057923609771353,-0.990045,98.55000000000001
1,9,2,0.01,0.001,0.001,0.4904155161061847,-0.99006,98.4
2,9,3,0.01,0.001,0.001,0.3564134844945955,-0.9900433333333334,98.56666666666666
3,12,2,0.01,0.001,0.001,0.4902515488656446,-0.990075,98.25
4,12,3,0.01,0.001,0.001,0.35634075052734593,-0.9900533333333333,98.46666666666667
5,12,4,0.01,0.001,0.001,0.28293199884659653,-0.9900425,98.575
6,15,2,0.01,0.001,0.001,0.49008733362817525,-0.99009,98.1
7,15,3,0.01,0.001,0.001,0.35626794339934587,-0.9900633333333333,98.36666666666667
8,15,4,0.01,0.001,0.001,0.2828910945546415,-0.99005,98.5
9,15,5,0.01,0.001,0.001,0.2360387810638904,-0.990042,98.58
10,18,2,0.01,0.001,0.001,0.4899228696424602,-0.990105,97.95
11,18,3,0.01,0.001,0.001,0.356195062963267,-0.9900733333333334,98.26666666666667
12,18,4,0.01,0.001,0.001,0.2828501594186781,-0.9900575,98.425
13,18,5,0.01,0.001,0.001,0.23601260560462067,-0.990048,98.52
14,18,6,0.01,0.001,0.001,0.2032986328319683,-0.9900416666666667,98.58333333333333
15,21,2,0.01,0.001,0.001,0.48975815615376345,-0.99012,97.8
16,21,3,0.01,0.001,0.001,0.35612210907133546,-0.9900833333333333,98.16666666666667
17,21,4,0.01,0.001,0.001,0.2828091933921551,-0.990065,98.35000000000001
18,21,5,0.01,0.001,0.001,0.23598641435956696,-0.990054,98.46000000000001
19,21,6,0.01,0.001,0.001,0.20328045695136934,-0.9900466666666666,98.53333333333333
20,21,7,0.01,0.001,0.001,0.17903862622142513,-0.9900414285714285,98.58571428571429
21,24,2,0.01,0.001,0.001,0.48959319240390886,-0.990135,97.65
22,24,3,0.01,0.001,0.001,0.35604908157533033,-0.9900933333333334,98.06666666666666
23,24,4,0.01,0.001,0.001,0.28276819642841594,-0.9900725,98.275
24,24,5,0.01,0.001,0.001,0.23596020730967768,-0.99006,98.4
25,24,6,0.01,0.001,0.001,0.20326227193792654,-0.9900516666666667,98.48333333333333
26,24,7,0.01,0.001,0.001,0.17902527331164653,-0.9900457142857143,98.54285714285714
27,24,8,0.01,0.001,0.001,0.16028378134556323,-0.99004125,98.58749999999999
28,27,2,0.01,0.001,0.001,0.48942797763125945,-0.99015,97.5
29,27,3,0.01,0.001,0.001,0.3559759803265815,-0.9901033333333333,97.96666666666667
30,27,4,0.01,0.001,0.001,0.28272716848069823,-0.99008,98.2
31,27,5,0.01,0.001,0.001,0.23593398443586677,-0.990066,98.33999999999999
32,27,6,0.01,0.001,0.001,0.20324407778245734,-0.9900566666666667,98.43333333333332
33,27,7,0.01,0.001,0.001,0.17901191465167335,-0.99005,98.5
34,27,8,0.01,0.001,0.001,0.16027355848242603,-0.990045,98.55000000000001
35,27,9,0.01,0.001,0.001,0.14531661559924877,-0.9900411111111111,98.58888888888889
36,30,2,0.01,0.001,0.001,0.48926251107069535,-0.990165,97.35000000000001
37,30,3,0.01,0.001,0.001,0.35590280517596795,-0.9901133333333333,97.86666666666667
38,30,4,0.01,0.001,0.001,0.2826861095021334,-0.9900875,98.125
39,30,5,0.01,0.001,0.001,0.23590774571901368,-0.990072,98.28
40,30,6,0.01,0.001,0.001,0.2032258744757653,-0.9900616666666667,98.38333333333334
41,30,7,0.01,0.001,0.001,0.178998550236551,-0.9900542857142857,98.45714285714286
42,30,8,0.01,0.001,0.001,0.16026333176766056,-0.99004875,98.5125
43,30,9,0.01,0.001,0.001,0.1453085385569761,-0.9900444444444445,98.55555555555556
44,30,10,0.01,0.001,0.001,0.13307307083672015,-0.990041,98.59
45,33,2,0.01,0.001,0.001,0.4890967919535938,-0.9901800000000001,97.2
46,33,3,0.01,0.001,0.001,0.3558295559739159,-0.9901233333333334,97.76666666666667
47,33,4,0.01,0.001,0.001,0.2826450194457466,-0.990095,98.05000000000001
48,33,5,0.01,0.001,0.001,0.235881491139963,-0.990078,98.22
49,33,6,0.01,0.001,0.001,0.20320766200864007,-0.9900666666666667,98.33333333333333
50,33,7,0.01,0.001,0.001,0.17898518006131856,-0.9900585714285715,98.41428571428571
51,33,8,0.01,0.001,0.001,0.1602531011983634,-0.9900525,98.47500000000001
52,33,9,0.01,0.001,0.001,0.14530045880988374,-0.9900477777777777,98.52222222222223
53,33,10,0.01,0.001,0.001,0.133066528615,-0.990044,98.56
54,33,11,0.01,0.001,0.001,0.12285718483000765,-0.9900409090909091,98.59090909090908
55,36,2,0.01,0.001,0.001,0.4889308195078072,-0.990195,97.05
56,36,3,0.01,0.001,0.001,0.3557562325703971,-0.9901333333333333,97.66666666666667
57,36,4,0.01,0.001,0.001,0.28260389826445614,-0.9901025,97.97500000000001
58,36,5,0.01,0.001,0.001,0.23585522067952472,-0.990084,98.16
59,36,6,0.01,0.001,0.001,0.20318944037185743,-0.9900716666666667,98.28333333333333
60,36,7,0.01,0.001,0.001,0.17897180412100852,-0.9900628571428571,98.37142857142857
61,36,8,0.01,0.001,0.001,0.1602428667716278,-0.99005625,98.4375
62,36,9,0.01,0.001,0.001,0.1452923763561595,-0.9900511111111111,98.4888888888889
63,36,10,0.01,0.001,0.001,0.13305998442164238,-0.990047,98.53
64,36,11,0.01,0.001,0.001,0.1228517781586081,-0.9900436363636363,98.56363636363636
65,36,12,0.01,0.001,0.001,0.11419374711506426,-0.9900408333333334,98.59166666666667
66,39,2,0.01,0.001,0.001,0.4887645929576409,-0.99021,96.89999999999999
67,39,3,0.01,0.001,0.001,0.355682834814927,-0.9901433333333334,97.56666666666666
68,39,4,0.01,0.001,0.001,0.2825627459110733,-0.99011,97.9
69,39,5,0.01,0.001,0.001,0.23582893431847388,-0.99009,98.1
